pais;comentario
Canada;Like the interface. The Instagram apps are difficult use.
Hong Kong;， 1 ！\n ?
Australia;Why are the updates becoming so big, I would understand if we weren't updating for a couple of months but lately they are 200-300mb and today's is 366mb.
United States;Thank you for the opportunity to live in the moment
Hong Kong;Please fix it!
United Kingdom;Why can I not change my privacy? Every time I attempt to change it hangs on saving!
Canada;Incompatibilité avec Messenger, très difficile d'accéder à mon Messenger je l'ouvre et il se referme tout de suite...  vous m'avez saboté un de mes 2 groupes et fait perdre de l'argent en me chargeant pour mon groupe...  Je perds régulièrement des amis sur mon compte facebook/Messenger et je dois refaire une demande d'amitié...  est-ce assez comme cela car je peux CONTINUER...
Australia;I'd rather this than Facebook
South Africa;Great for dodging traffic
United Kingdom;Excellent.
Australia;Thanks for listening to my feedback about the size of the reduced running videos. Is there a way to keep where you're at on your newsfeed? It's hard to keep track of where you're up to and actually read through your entire newsfeed when it keeps popping back up to the top and refreshing. \n\nIs it just me or is the app still crashing?
United Kingdom;Been using for a week now and has highlighted every traffic camera and police car. More users on this the better for me and other users of the app. Download it now people �
India;I totally love Pinterest! It has changed my way of writing.
Hong Kong;it freezes so often on my iphone, and guarantee it freezes when i hit on the other person's dialogue bubble trying to use the copy/reply function.
United States;Update removed ability to immediately see who pinned something and to which board, which was one of the most useful things to see. With that gone the app now is cumbersome and annoying to curate boards and a good group of people to follow. Additionally, it seems at least half of what shows up in the home feed are poor suggestions based on my now-irrelevant past searches or paid advertising spam. Pinterest is making itself annoying and useless with every change.
Australia;New Facebook app notifications now gives me notifications that aren't necessary, or not updated, or worst, no notifications at all! Like seriously worst feed application design ever!
Singapore;I posted a picture with captions and it wasn't a problem before. But i reviewed the photo and realized there wasn't any captions, even after i reposted the photos, try to edit the caption, it just shows error saving changes. ? and please change back the non chronological posts things
India;Good app
Singapore;- i like facebook but needs to improve more\nSuggestions:\nCan write something to individual images even if they are uploaded in a group - done\n- possible to select different font style and font size? \n- can bold the letters?\n\nGoodluck! More power!
Hong Kong;Please advise where can I make the complaint that you Facebook  always block my right to leave messages during others' live broadcasting without any concrete & sound reasons! This is the second time! I feel so discontent about it! Can your head office manage this problem seriously! So bad!!!
United Kingdom;I have loved Pinterest for a few years now. Recently there was an update where you could click humour and get every pin under humour and scroll for eternity. The new update however has changed the humour section to group certain types together. There doesn't seem to be an all humour section anymore. They did so well and then ruined it by going to far. I now hate Pinterest and rarely use it
Singapore;Very user-friendly app. Very comprehensive. Good and easy to understand displays and readings.
South Africa;Absolutely best app! Communication has never been easier!
India;Awesome app
Singapore;Awesome Favourite app for posting beautiful pics! Great app that's easy to use! Thank you for creating this!
Hong Kong;No in app notifications, need to click into the app to receive the msg
Singapore;Good. Would be better if alternative routes are shown. Routes are not always the fastest route.
Hong Kong;the update is just for the ad post.\nrubbish
United States;I'm aware of the food I get every day
Hong Kong;！ ！
India;One of the best must have app on your device !!
United Kingdom;Still doesn't support iOS Health :-( \n\nHad my Charge HR nearly 2 years and they still haven't done this!
Canada;J'adore
United States;Easy to use
India;I updated the app. but still it dnt show the Icon.!!
Hong Kong;iPhone 7, whatsapp,  whatsapp,  app,  delete whatsapp ， record 。
Australia;I quite like instagram but I've noticed that it's now started copying a lot of snapchat features and has just added face filters! It's really dumb so please stop and go back to being the best. Live up to your description
Australia;I can't get the volume button to work on rewind...�
Singapore;Ok ok la
Canada;I always have to delete and reinstall the app because it can use up to 2Gb of storage
Hong Kong;The whatsapp keep logging me out like 10 times a day, and I just couldn't change the background no matter how many times I tried!!! Real bad!
Hong Kong;post， ！
South Africa;??�
United Kingdom;Improved.
Canada;Instagram, why? I have a normal running phone but when it comes to the notifactions lord, do I have something to say. THEY ARE DELAYED. When I get a notification from one of my favourite idols, I think it's a new photo for video they are posting but NOPE, they actually posted that specific photo HOURS ago. For example, I get a notification saying that Danisnotonfire just posted a photo! I click on the notification only to check the time stamp that he actually posted the photo two hours ago. INSTAGRAM FIX THIS!!
Canada;Missing the old Pinterest. \nWhy in the name of all that is good and holy did you get rid of the like button?
Hong Kong;After upgrade Facebook, its worse than before, cannot review Album n still upload photo in one batches (40photos), pls fix it urgently.
Canada;You are already making piles of money from our personal info - leave us alone!!
Australia;Instagram is really good because you can share posts witge your friends and it lests you connect to old ones. I LOVE Instagram and use it all the time?highly recommended it�
South Africa;On it 24/7 and even have a page for my Great Dane�
United States;Instagram is my fav app on my phone it made me more closer with my friends and I'm happy so I love instagram...?
United Kingdom;Top class
United Kingdom;For the last few days I have been unable to load up Pinterest on either my phone or iPad. Have deleted the app and re-installed it but sadly nothing on either. All was working fine a few days ago and now I can't get on to my most favourite and constantly used app ?.. not sure how I make it work but assume a fail in last update?   Different colour boxes appear but no photos load up???  Gutted.  Please rectify this issue Pinterest as I'm missing being able to access it �
Australia;The app crashes when trying to view some accounts, get cracking and fix this guyssss
Hong Kong;App ， story ， ， ， 。 ， effect， ，2017 App，
Singapore;WhatsApp keeps disconnecting after this update. Even when my phone just lock its screen, my WhatsApp app disconnects. Why break things omg
Australia;Had an early problem, fixed easy. Log out delete reinstall.\nA great way to defeat the tyranny of distance.
Hong Kong;button bar,\n ， andorid ？\n 。
South Africa;I love the app but don't like it that people can check if I am online or not.
United Kingdom;I really do love Pinterest and is a really bad addiction for me but the past few updates makes finding pins relating to my boards much harder such as when you clicked a image you used to could view all the other boards where that pic would be saved on I mean the 'saved to 24 boards' sort of thing and that used to be so useful and made it so much easier to find boards to follow and pins but now that's removed it's really annoying I wish you could bring that back in your next update.\n\nI don't like the notifications either like I find it hard to follow who's pinned my pins and who is following me and which boards but I don't mind that really but I did prefer how it used to be. \n\nAnother thing also I don't know if it's a glitch or something but when I follow board and people and if I wanted to look back at their boards or profile I obviously go on my profile and click who I'm following and what bo
United States;The app use to be so user friendly, now it's not as enjoyable because it's trying to compete any and everyone!
United States;I absolutely love it! Been a subscriber for years!
United Kingdom;عاليس
United Kingdom;I can't see my notifications, (only when they appear on my screen, I go to look and its showing me notifications from 2 days ago?)it's slow and freezes. Even when updated! I just want to be able to nose and post nice things! ?
Australia;Love it's usability and ability to connect the creative community.
Hong Kong;No longer be able to see board list which saved the pin. Bad version!
India;I am losing the feel of using whatsapp.. do remove that status thing which was copied from snapchat.
Hong Kong;app\nRubbish
United Kingdom;I love Facebook especially the app...\nIt provides a sense of safety, security and comfort whilst travelling anywhere alone...\nIt is a tool and is perfect to stay up to date with multiple friends at once. I think the impact Facebook has had on the world is extremely positive. Allowing people to network across the world and stay in touch with people Internationally is incredible! Exchanging details with people we pass by and communicating, sharing snippets of our lives and thoughts with each other along the journey of life is wonderful. The benefits of having the application on the mobile far outweigh the negatives! \n\nI believe Facebook has strengthened family bonds globally, giving people the opportunity to share experiences with others is a lovely feeling! Especially for busy entrepreneurs, it encourages family members and friends to show we care even when we are extremely busy! \n\nA* app - Tip
India;Everything was good and suddenly Unable to download images since morning having tough time \n Receiving some important msgs from work \n Pls update ASAP
United States;It has a very good food calorie data base with a nice social network.
United Kingdom;This is the only messaging app that won't let you view your contacts, unless you go into start writing a message to them! It's a messaging app, but you can't directly access your contacts, absolutely bonkers!
Australia;Great app
United States;Love the app!!! Could tell you when to make a turn a little sooner. Says my house is four doors south from where it actually is, but good thing I know where I live.
South Africa;Couldn't do without it
United Kingdom;App likes to crash, 3 times today, hardly crashed that much a week till the most recent update (11.6.17)\n Bit annoying when you're 8months down your time line looking for an old post 🙄😩😡
United States;This has some of the greatest ideas the world has to offer.
United Kingdom;I live instagram... \n \n A little to much 😂😂😅😅
India;🟽
Hong Kong;Reli got too much advert
South Africa;Great place to store memories
South Africa;1) \n Occasionally in a chat it will suddenly go to a previous message instead of displaying the last message in that chat. \n \n Example: while typing a message or doing anything in a chat, suddenly it will show a previous message in the chat instead of showing the last message that was sent. \n \n 2) \n There is still a problem with Voice Notes getting cancelled while recording. \n \n Example: while recording a VN suddenly after a few seconds it gets cancelled automatically and then an incomplete VN is sent. \n \n 3)\n With regards to improvement it would be nice to hide status updates completely without still seeing a blurred out picture of the status. \n \n Looking forward to the new edit/retract feature!
United States;Wish messenger was still in the Facebook app and not a separate one
United Kingdom;Such a slow system which often needs to be closed and reloaded.
South Africa;Really on top of it! Active reports. Accurate at least 95% of the time!
United Kingdom;A good way of communicating with your friends and family and is also good for arranging things overall an amazing social media
India;After i updated my what's app yesterday the chats contact are double
Singapore;Hope Apple can have more than 1 people in the call :) it would be appreciated thanks
Australia;Love it
Hong Kong;Suggest this function for return msg and voice , similar with Skype (can edit the msg and remove)
Australia;I'm sorry, but GET RID OD THE CAMERA SWIPE! SO ANNOYING!!!!!!!!!!!!!
United Kingdom;I am sick of having to double sync the device in order to see sleep information you used to get it as soon as it did one sync now you need to sync it twice! What a waste of time.\n \n Device: Fitbit Flex!
Hong Kong;， 。
Hong Kong;machine hanged after download this new version...
United States;Can't live without
United States;So I can't post any more than one picture at a time off the app on my phone and it is so frustrating. Please fix it! I want to be able to post my 40 pics without the entire thing freezing and crashing. Thanks:)
Australia;I can't see what I'm typing in comments and it's driving me a little crazy 🐮
South Africa;Great app and essential to have!
India;Great
Hong Kong;just like it!
Singapore;Why cant people hear me when i talk? So damn annoying i swear! zzzzz
Australia;Current versions of the app have an over-the-top amount of advertising, which is a real shame.
United States;Very helpful
Canada;You should hire me to improve user friendly status. I was very good at this because l treat every user has just grade 3 education, while your programming guys treat the users the same level of education as them or Mark, the boss, and many things you have to think before you can use. This is just not on if you want bigger users of facebook.
United Kingdom;Since the last update I have to keep signing myself back in and have to constantly put in my password in the settings on my phone. Same with the messenger app. Annoying!!
Australia;Works incredibly well!! It's fast and reliable and it allows you to do all the things you could on a computer.
Singapore;Unable to link post to fb after the update.
Hong Kong;，
Canada;It is what it is and it's good at that.
Australia;Much less involved than other social media, I love it.
Australia;Instagram is meant to function via hashtags. Then they shadowban you and they don't work. \n Refuse to acknowledge the issue. Refuse to explain why or how.
South Africa;Instagram is a really kool platform to share pictures whether of yourself or just beautiful works of art . thank you .
United Kingdom;Beat social media platform
Singapore;Unable to mass upload photos. So frustrating
United States;Nice, easy app to keep track of calories for weight management and weight loss.
India;Cannot sign in. The sign in page is flashing and keeps saying authorisation failed  when I don't even touch the screen
United Kingdom;Simply brilliant. So accurate with its time estimations and the routing has been faultless.
Australia;Random reloads in the middle of reading something and regular crashes. Very hard to use.
United Kingdom;Just gets worse and worse not like your do anything about it but hey ho, unable to play games such as draw something because of Facebook, also a major floor in my eyes I will click LOG OUT go to sign back in and it DOESNT even ask me to enter my password!! Same with deleting the app re installing it yet it DOESNT ask me for it which I think it pretty bad!! Also why the hell am I seeing posts from last week and not from today! Talk about annoying Sort it out
United Kingdom;Says I have a notification. Doesn't show up what it is since the most recent app update today.
Hong Kong;what happens to new update?
Canada;Th is app made me sad cuzz I. Like prime and newess don't likey also transforms anamated is 🠾
South Africa;Apps can learn from this one. Makes my life easier.
India;I'm using iPhone 6s Plus and my WhatsApp is not working. Please help!
United Kingdom;The ads in the middle of videos is a ridiculous idea, either put them at the start or don't have them at all
Singapore;Hi my what's app keeps crashing . I have tried reinstalling the app and resetting my network settings. It still doesn't work. Mine is iOS 10.3.1 and also I cannot update my software to iOS 10.3.2 TOo:( it's says there is error
Singapore;App keeps crashing when I open a group page. Not sure why. I've lost count of the number of times it has happened.
Singapore;Awesome
Australia;The tiny X to remove Pages You Might Like that you don't like or have already liked is so difficult to hit sometimes.... needs a Remove like Friends You Might Know.\n \n And so sick of Top Comments - should be away to show ALL COMMENTS CHRONOLOGICALLY BY DEFAULT!!!!!
Singapore;WhatsApp is the most used app in my iPhone. I find that this app does messaging right. Best part it's free not to worry about messaging limit. :)
United Kingdom;I love this app it never lets me down ! I would be lost without it
United Kingdom;An instant insight into the everyday lives of other people. It lets you create a great looking photo, not just a quick snap with the ordinary camera. It's not just pictures of people's food.
Hong Kong;.. .. .. ..
Hong Kong;？upgrade
South Africa;My WhatsApp status isn't working and this is very annoying because all my other friends and families statuses work but mine doesn't 👴 posts on my phone but on my friends phones it doesn't show that I have a story 🐮. Please fix it.. Thank youu �
Australia;Update won't download unless I have wifi (which I don't have) please fix. iPhone 5 user...
Australia;Wonderful App BUT doessn't work with iOS4.3.5
Singapore;There seems to be a number to indicate there's notification but when I enter the app, there's no new Likes or Comments for my posts at all
South Africa;New version is terrible. It does not pull data from Apple Health app anymore. It always use to pull data from Apple Health app which was fed by the apple watch. No way to compare calories in vs calories out. I thought updates are meant to make the app better?
United States;My account got hacked and they won't do anything about it...not even deactivate it. Tons of kids follow me and now there is nude pictures and crap!
Canada;.
Canada;Terrible design. Can't see any new friend requests and I hate how messages are now a tiny button at the upper right corner. Liked it better when all the tabs were the bottom.
Hong Kong;Since last update, the time when left message info is lost \n  㳄update ， ， ？ ？
Australia;Its crashed most recent and news feed down
South Africa;This could have been a great app. However, it does not integrate with Apple Health App. I detest having to go to multiple apps to view my health information.
Australia;Seriously the BEST app to increase your instgram followers and likes. And this is the most working... You have to pay and the prices are pretty good. One thing is you have to active on ur account otherwise your followers may unfollow you. That’s it. Rea
United States;Can you have a merge boards option?
United Kingdom;Good app
Canada;Mais j'aimerais bien que tout soit en français car les aliments son toujours en anglais
United Kingdom;Facebook messenger is pointless why have messages on Facebook when you can't open them without this pointless messenger app why it's rubbish :( \n \n Mark Zuckerberg likes our money but doesn't like dealing with complaints there is no contact number for dealing with complaints and no replies to you complaints by email so Facebook is more like Wastebook
Australia;Yes , lot of interesting 🍲 photos in HD in all aspects, 😊. Love ❤️ ly.
Singapore;Crashes EVERYTIME I open a page.
South Africa;Great app! Really very good. Highly suggest it.
South Africa;It's great
South Africa;The amount of data being deducted from viewing a video is too much. Reduce your data intake on videos or at least indicate that the person updated a video so that we don't view it if we don't have enough data. \n Please work on that\n \n Also PLEASE BRING BACK OUR FAVORITES
Canada;Luv it 🠡!
Australia;Works as well as expected
Australia;No customer support. No protection against harassment. Inundated with dodgy China ads. Where is all the ad revenue going greedy zuck? Not employing customer service. Shame on this sick 'philanthropist'
United Kingdom;Awesome app �
Hong Kong;Hahahshhs
United Kingdom;No options for the old profile pictures to set them again !!!!!
Australia;Great App to accompany your fitbit
Hong Kong;Update �
Canada;Great app for traffic uodates
United Kingdom;You seriously need to remove the swipe right for camera function!!! Sick n tired of trying to scroll and getting the poxy camera!!! If I want to take a pic I will use my camera not a bloody app!!!!!
United States;I think this app is magnificent. the only issue is the new update Instagram Stories. it happens to be EXACTLY like snapchat. it's a bit much. but overall, this app is a great way to spread fun and cheer for all who are near!
Singapore;This is a must have navigation app for all drivers and riders
United Kingdom;Best there is
South Africa;Lost everything
Hong Kong;Since my friends' and my whatsapp stopped at 18-5-2017 around HKtime 1:30-49am, the time of last seen doesn't show the same as the message time.
India;Please fix an annoying bug on Iphone 7 . Whenever I try to Direct Message someone photos , it sends 2 photos instead of one.
United States;Very detailed, great for skirting traffic
Canada;In my opinion #1 app, crucial app....\n Would pay a fee if I had to!
Hong Kong;wifi ， ！！
United States;The latest update is completely useless. I can't even get on Facebook as soon as I get on the app it crashes. I've tried deleting and redownloading and it still crashes as soon as I log in.
Hong Kong;apps app, delete download， download
India;For the past few days I am having problems downloading images and videos sent to me.
Canada;Best app for real time traffic by far. Only 4 stars because the maps quality aren't great compared to others and Google maps provides better views of alternative routes while driving with eta estimates. \n \n Still is my favourite navigation app.
Hong Kong;So much bugs after update, even unable to load the picture
Hong Kong;iOS，9.3.2 ， app ，
United Kingdom;Yet again another update that breaks the app nothing is showing on the app icon to tell me I have any notifications I have to open the app for that fgs sort it out
South Africa;How do I reset this stupid 100mb limit thing, like seriously, I have more than 6 gigs of data and I can't download Facebook for 250mb😡
India;hi,\n please come with an option to secret lock some of the chats as our privacy issue is disturbing.
United Kingdom;Ok
Hong Kong;1. \n 2. post \n  app \n 3. timeline posting\n 4.Can't translate
India;Improve the messaging system. If someone is sending multiple messages, then some messages doesn't shows on that same time. However after refreshing it or using it after sometime it shows up.
Canada;Can't login..
Singapore;Keep the good work
United Kingdom;Bought my Fitbit week ago and I love it! Great watch and great app!
United States;The tittle speaks for itself!!
United States;Instagram is a wonderful place to share what you enjoy seeing and doing with the world. Great job Instagram!
United States;Good app
United Kingdom;Very easy to use app.
United Kingdom;facebook use to be barebable but now... \n 1. scrolling through my timeline and that camera thing keeps making an appearance! what is that?! don't even want to slide it across but it does it anyway!\n 2. where's the bit you slide across telling you whose online?!\n 3. why does there HAVE to be a separate app for messenger? \n 4. WHY AM I STILL SEEING INAPPROPRIATE CONTENT ON MY NEWS FEED! \n long story short... it's gone down hill... drastically...
Hong Kong;app...
Canada;Works extremely well with my FitBit and great to track food
United States;I love it!!! I find everything that I'm looking for.
Canada;What are those terrifying new buttons at the top of the interface for??? New functionalities with no explanation whatsoever
United Kingdom;^ Is the nicest way to say it! It's overall not bad but i keep getting an annoying hour of it saying connecting... and won't connect whether you have full bars of wifi or 4G! Kinda driving me crazy..
Australia;AMAZING
Canada;Really handy and easy to use.
Canada;PLEASE make it possible to preplan meals I use another app for this. What is the point of logging food after you've eaten?? Or only planning for one day. I love planning my weeks and shopping accordingly, to me this is a HUGE flaw, would love to use the app for cal intake/burned but I don't have time to enter food Everyday I would rather do it once for the week! Love the rest of the app!!!
Australia;Love this app, Pinterest is full of great ideas and pictures, so helpful!!
India;I cannot update my Facebook App on my iPhone 5 please fix the update problem and tell me how I update my Facebook on my iPhone
United Kingdom;Latest update as poor as the last I'm afraid.
United Kingdom;Best social media app
South Africa;Good day. Since my whatsapp updated this morning, I'm unable to open the programme at all. I have an iPhone. How do i fix this?
Canada;Love it
Canada;It's good �
Canada;Très pratique et assez précis �
Canada;Je ne peux ni ajouter, ni supprimer mes photos :-(
India;Best app ever made
United Kingdom;Here it was 300 bad reviews and it got deleted yesterday the app is full of bugs
Australia;I was going great guns until all of a sudden I cant comment or give likes anymore. Wonder why??
Hong Kong;upload 🟽
Canada;All a mutual follow feature to see if the person follows you back would be a gereat feature!
United States;I can't upload a video from my camera roll to IG stories without it crashing literally every time. I've tried deleting and reinstalling the app several times, and restarting my phone. Nothing works, it keeps crashing. I can't add any videos to my stories and it's getting super frustrating.
India;Really useful and helpful. Thanks instaa
United Kingdom;It's good
Hong Kong;
Singapore;Stop making redundant updates please.. bring back the chronological timeline
United Kingdom;Difficult to understand. Took me a long time to work out how to use it and still not sure I've mastered it.
United Kingdom;Goood
South Africa;These ads in the videos that we are forced to watch and can't skip are totally ridiculous!
Australia;I use ios 8 on iphone 6 but i didn't get face filter
United States;No puedo enviar chats, la aplicación se congela y desaparece el botón de enviar. Desinstalé y volví a instalar y se sigue colgando la aplicación cada cierto tiempo y los chats no se envían. La única app que no funciona en mi teléfono es WhatsApp
Hong Kong;I choose recipients and though the msg send to them separately, and then it forms a group chat??? That is totally stupid !!!! And so lucky I choose only two people. Please fix this user-unfriendly problem !!!!!
India;I dnt know wat facbook update is for ....... N y d updates r so frequent ..... N i dnt knw y the size of the update is so high ...., can any body reply me for this
United Kingdom;Got rid of the app and just use Safari. So much better, no real difference (unless you're an addict) and it's freed up so much data on my phone.
United States;Desde hace 4 meses he escrito a Instagram para que me resuelvan mi problema con las publicidades , ya que las misma se aprueban y no son visibles a público... y hasta ahora no recibo respuesta no solución a mi problema , siendo empresa necesito utilizar el servicio de publicidad de manera óptima.
South Africa;Cant send or receive any messages but all my other social media apps are working ?
United Kingdom;The timeline is all over the place, if you come out of the app it jumps back to the top so you have to scroll back to where you were and I am now unable to follow people!!
Singapore;Why does ios facebook app have such slow loading when you first start it up after so updates stating speed improvements. Now i get network error when i am still connected to a fast 4g network with full signal strength. Your app is getting worse not better!
United Kingdom;This is a fab app works great with my fit bit helps me keep track on things easy to set up and use love it
South Africa;Ease of use and connectivity with likeminded individuals. Awesome app!!!
Australia;Awesome product. Finds routes around tolls that Apple and google can't.
South Africa;I cannot find my contact list. I want to view people's profile pictures without actually going into their profile. Mark make a plan. Bring back the favorite list. Please. Not much to ask for
United States;instagram should have a night mode just like twitter
United States;Don't like that the Like option is gone but I absolutely HATE that you can't see who is pinning or even what board they're pinning to now. The feed looks like an utter mess now and I don't even want to scroll through it anymore. Such a shame how downhill these updates have sent this once great app.
Australia;I LOVE instagram. My fav form of social media.
Australia;Great
United Kingdom;Amazing
Canada;The app is okay but it takes up way too much space, especially with the updates.
United Kingdom;Fantastic I use what's app personally & for business
United Kingdom;Good fun, easy and simple way to express through photo.
United Kingdom;Detail the changes because I want to know what you have changed and all that
Hong Kong;，
United Kingdom;Uninstalled as it attempted to update buy itself and couldn't. Won't be bothering again. I'll go back to my paid fb apps
India;Useful for all people
Canada;When I am being good and use the app consistently, it's great! The reminders help and keep me focused.
India;It was fun to be on Insta always
United States;amazing, truly. the fidget spinner videos are the best thing yet about Instagram! my eyes glow up whenever I see a fidget spinner suddenly pop up in my feed, truly, honestly, just seeing them make me the happiest person alive. my life was so dull before, but now that fidget spinners have come out it makes me happy that Instagram shares that GREAT content videos. I do recommend this app to all you fidget spinny loving people. :)
United Kingdom;Every fourth post an ad and the posts are no longer in timeline order. Deleted
United Kingdom;As an older (and much slower) user of Instagram I would appreciate a downloadable instruction manual of all the controls and definitions from Instagram so I can use this otherwise excellent tool to the full. Also a big pain is when I try to edit my profile, if I delete any text the keyboard pops up and covers it so I have to guess where to end.
South Africa;An absolute essential app for city commuting.
India;Do us a favour and just close the f app doesn't work anyway
United States;Creative routing around traffic problems. Uses your speed and reported problems to detect backups and generate workarounds if available. So keep those reports coming Wazers if you're not driving that is! \n \n Drawback is the battery drain thus removing one star.
Australia;Instagram is great except for some old people like me. I wish all the functions were also available on my desktop. I find that very frustrating.
United States;98% of the time Waze provides the best route. No digital devise can compete with the street knowledge of taxi drivers, or the realities of street lay outs in suburban developments.
United States;For the past week I am not able to log into my account i have a business and personal account it is not allowing me to login it's also not telling me that my password is wrong so I know that's not the problem I also cannot log in with the log in link that you send to my email
United Kingdom;Very slow. Often doesn't even open. Not consistent with news feeds etc. Bad app.
Canada;I have a iPod so I don't have a phone number and it keeps asking me for one when I don't have one help
Canada;App does not work with existing numbers. If I put in a new number it works. Tried his, then tried to change my number from the new to my existing and it does not accept my existing phone number. It's almost as if the existing numbers were all stripped from the whatsapp database
United Kingdom;Enables you to track most calories for products effectively , not spot on with certain items but decent for the most part
Canada;Awesome!
Australia;At the end of the day I like to upload my stats to Instagram. I've saved my metrics so it's in KMs instead of miles. On the app it's all good but when I upload it displays miles. Could this be fixed please? Thanks Fitbit team
India;This is by far the best app. The only thing i want is you should add place for cover picture on the profile like on facebook. Please..!
Hong Kong;app
Singapore;Crashes every time I try to go to a page
Australia;Some (most) of the photos in the newsfeed don't load. In their place a refresh icon is displayed. Clicking this icon doesn't fix the issue. Seems to have only started happening with the latest update.
United Kingdom;So I took the Facebook app off my phone ages ago when I read it was killing battery life. I use safari instead. I just went to try it again and it's 233MB. A few months ago it was 160MB! For an iPhone app that's basically a glorified browser? Facebook, fire your app devs and hire people that know how to code for iOS, which is probably the most prevalent platform your customers use. Come on guys, you're supposed to be one of the worlds leading tech companies. Time to start acting like one.
South Africa;Great navigation app. I especially love the option to predict my trip time in advance and navigating around traffic. I find it to be about 80% accurate.
Singapore;There a issue on backing up
Canada;Why am i seeing posts from 3hrs then the next one is 9min ago it should be from recent to oldest. Awful. \n \n Does anyone read this from instagram or do you guys just get fake accounts to add 5 stars
Singapore;Stickers not showing. Strokes malfunction
Singapore;- every update takes 300+ MB\n - should at least let the user know before changing any feature - for example, they remove interest list without notifying the users. All of my interest lists was gone just like that when they won't even let me have the time to backup.\n - messenger icon on the top is just ridiculous.
South Africa;[More ranting]
Singapore;Too many ads! Please just remove it or minimise it. I only want content that i have follow . Please thank you
United Kingdom;I hate satnavs but I love Waze. So easy to have accompanying me on my journeys. Update info and changes on route when required. The voices and commands are excellent and never confusing. The screen view also is spot on.
United Kingdom;After 5 mints showing network error unable to load newsfeed or anything els this problem facing from last 10 days
United States;Instagram would be better if you knew how many people view your pictures
United States;I despise this time jump, like an MTV video.
United Kingdom;Such a great platform, easy to navigate and really simple to use. Old additive, if it works don't Chang if. Always there at anytime.
Hong Kong;Please follow up\n After updated, the Facebook does not show any newsfeed or stories.\n Please fix, thank you
United Kingdom;won't let me post a video
United Kingdom;You can no longer share photo memories from your on the day memories. Please sort this out.
United Kingdom;Better interface then FB \n \n however both insta and fb has one downfall which being able to select and delete multiple amount of people. or deleting conversations. \n please add this thank you.
India;I phone
United States;Great app and brings people together! Ignore the trolls! Great updates.
United Kingdom;Hate the new whatsapp for the simple fact you can't just view someone's profile without calling them and cancelling the call I don't like the changes that have been made in that sense honestly dislike the status change also whatsapp needs to change again
United States;I really enjoy this app. I use it daily. I also have the paid version but there is one issue I noticed. When you log your food for let's say breakfast, it used too show total macros for each meal but now it doesn't. I'm unsure if this feature is still available but I'm just doing something wrong or if it was taken out all together.
United Kingdom;Its a dank apppppp baby girl
Singapore;After the update, I stopped receiving notifications. Please fix this.
Canada;Fameux
Hong Kong;“ ”\n  WeChat ， send
India;The app size is 250 mb, then why the hell it turns to over 1.2 gb within a week!! I am fed up!
Canada;Best traffic app ever!!!!
Canada;Every time I watch a video, it takes about 30-60sec for the back button to work. It freezes and stays stuck on the end of the video. Fix this please... it's been a few weeks now!
Canada;The search field doesn't show mutual connections first, it just lists out the most random Instagram users. So frustrating trying to search for a company! Only noticed this after a recent update.
Canada;Love this Pinterest very informative and very clear on how to get to things.\n If you have friends let them know it is very easy to get onto Pinterest.\n So good.
United States;I Facebooke a lot. The apps fine, but I wish it had all the same functionality as the desktop version (which I NEVER use unless I want to review security stuff). I wish it integrated with my other apps better... often when I have the option to sign on with Facebook it doesn't actually work. All in all it's simultaneously a good app, yet its Facebook, I guess I hold them to higher standards.
India;keep it up
Canada;Love Instagram. You should be given the option whether you want ppl to see who you've followed and what photos you've liked. I like Instagram more but my fb still loads the fastest. When you close out your feed should stay exactly where you left off when you return.\n Instagram is the best app accept twitter allows you to post what you want without deleting someone's account if they post R rated stuff.
Singapore;It would be good if there is an option to backup all video / photo to iPhone iCloud Enable / disable .\n 2. The storage media had a setting to expiry such as weekly / monthly so it auto delete housekeep to keep photo / video low .
India;Great app. Unable to view Member profile. \n No photos in comments possible- major negative.\n Can see all posts at one spot - a major welcome aspect.\n All the best.
Canada;Très fonctionnelle et très précis \n Il ne faut pas sans passer
India;Sign up errors since 3-4 days.
India;App is good.but make a redesign or makeover in UI.pls its a request\n Please bring applock in ios.can u?
Australia;No way to turn off 'Stories' completely. \n \n And app updates always toggle setting of use less data to off mode.
United Kingdom;Yes and also add an option to accept and decline group invitations. Only then you will get more stars or even five stars.
Singapore;Suggestion : add dark mode ?�
United Kingdom;I used to love this app, but the recent have updates mean watching and closing videos is now a 2 step process rather than the 1 it used to be. Very annoying! Also the full screen & X buttons seem to need multiple presses to get them to work. I hope these issues are resolved soon so I can give this app the 5 stars it usually deserves.
Canada;No bad review ever from me.
United Kingdom;Helps me when bored brilliant app
India;Good
Singapore;My dms keep lagging and it says that I have new messages but they're just old ones that I'd seen earlier??? Fix this
Canada;Yup
Canada;Je n'apprécie pas du tout le design pour les commentaires et les réglages. J'aimais mieux comment c'était avant, maintenant, c'est moins clair. Je trouve aussi qu'il y a trop souvent de mises à jour, il faut se réadapter à chaque fois. \n \n Merci de lire nos commentaires.
Australia;Please give us an option to leave group chats without members knowing- since you got added without being asked anyway!
India;Best app ever for pics as always love thisss!!!!
India;Not able to download any images after update \n Please look into this
Canada;Since the last 2 updates my push notifications stopped working
India;Awesome
India;370 mb update for facebook are you kidding me.more heavy then a high end game its discusting.stop it
Australia;Very good
Australia;Massive food database in calories or kilojoules, syncs with loads of fitness devices logging takes only a couple of minutes a day, an awesome forum community which debunks the many myths of the diet industry. I cannot thank My Fitness Pal enough.
